original_link,city,colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,type,zipcodes
http://jobview.monster.com/Assistant-Store-Manager-Retail-Sales-Customer-Service-Cerritos-Job-Cerritos-CA-US-165987414.aspx?mescoid=1101116002005&jobPosition=1,Los Angeles,"[3, 2, 1, 0]","[4, 12, 17, 9]","

Assistant Store Manager - Retail Sales / Customer Service - Cerritos

","
Extra Space Management, Inc.
 ","[1, 2, 7, 3]",http://jobview.monster.com/Assistant-Store-Manager-Retail-Sales-Customer-Service-Cerritos-Job-Cerritos-CA-US-165987414.aspx,"


Cerritos
        ,CA

 ","[4, 0, 2, 7]","[6, 7, 4, 2]","
                                Title        Assistant Store Manager - Retail Sales / Customer Service - Cerritos              Auto req ID        5505BR              City        Cerritos              State        California              Job Category        Sales              Emplo......
                            ",Retail,"[11, 8, 13, 17]"
http://jobview.monster.com/Retail-Store-Manager-Job-Arcadia-CA-US-165829474.aspx?mescoid=1101116002005&jobPosition=2,Los Angeles,"[1, 3, 2, 0]","[15, 3, 11, 13]","

Retail Store Manager

","
Interesse International Inc
 ","[7, 5, 0, 1]",http://jobview.monster.com/Retail-Store-Manager-Job-Arcadia-CA-US-165829474.aspx,"


Arcadia
        ,CA


 ","[0, 3, 7, 5]","[5, 6, 0, 4]","
                                A stylish Eye wear company is looking to hire a Store Manager for their NEW STORE opening at Westfield Santa Ana Mall in Arcadia, CA. (with upward mobility)

Working Hours: 5 days/40 hrs/wk 
*Shift hours (early or late) to cover store hours (mostly ......
                            ",Retail,"[5, 16, 13, 2]"
http://jobview.monster.com/Retail-Store-Shift-Supervisor-Job-Mission-Hills-CA-US-166999905.aspx?mescoid=1101116002005&jobPosition=3,Los Angeles,"[3, 1, 0, 2]","[0, 2, 7, 16]","

Retail Store Shift Supervisor

","
Koch Davis
 ","[1, 7, 3, 6]",http://jobview.monster.com/Retail-Store-Shift-Supervisor-Job-Mission-Hills-CA-US-166999905.aspx,"


Mission Hills
        ,CA

 ","[3, 8, 2, 5]","[3, 4, 8, 7]","
                                Work effectively with store management and store crews. Supervise the stores crew through assigning, directing and following up of all activities. Effectively communicate information both to and from store management and crews. Assist customers with......
                            ",Retail,"[4, 0, 10, 6]"
http://jobview.monster.com/Retail-Sales-Representative-Job-Los-Angeles-CA-US-165973993.aspx?mescoid=4100671001001&jobPosition=4,Los Angeles,"[2, 1, 0, 3]","[11, 5, 2, 15]","

Retail Sales Representative

","
Heng Enterprise
 ","[2, 5, 6, 0]",http://jobview.monster.com/Retail-Sales-Representative-Job-Los-Angeles-CA-US-165973993.aspx,"


Los Angeles
        ,CA


 ","[5, 1, 0, 4]","[0, 6, 5, 2]","
                                At Global Elite Solutions, if it matters to you, it matters to us!  
 
Fast-paced and collaborative company with over 1,000 stores (and growing!) seeks career-oriented, success-driven, passionate, intelligent and fun store manager for challenges, su......
                            ",Retail,"[17, 2, 1, 11]"
http://jobview.monster.com/Retail-Sales-Representative-Job-Brea-CA-US-165974390.aspx?mescoid=4100671001001&jobPosition=5,Los Angeles,"[2, 3, 0, 1]","[11, 3, 13, 6]","

Retail Sales Representative

","
DAMASCUS ROAD MARKETING INC
 ","[0, 3, 7, 4]",http://jobview.monster.com/Retail-Sales-Representative-Job-Brea-CA-US-165974390.aspx,"


Brea
        ,CA


 ","[2, 6, 3, 7]","[1, 3, 6, 2]","
                                At Damascus Road Marketing, if it matters to you, it matters to us!  
 
Fast-paced and collaborative company with over 1,000 stores (and growing!) seeks career-oriented, success-driven, passionate, intelligent and fun store manager for challenges, s......
                            ",Retail,"[2, 5, 18, 17]"
http://jobview.monster.com/Retail-Store-Manager-Job-Manhattan-Beach-CA-US-166375276.aspx?mescoid=1101116002005&jobPosition=6,Los Angeles,"[3, 0, 2, 1]","[12, 16, 2, 18]","

Retail Store Manager

","
Diane's Beachwear
 ","[3, 0, 7, 5]",http://jobview.monster.com/Retail-Store-Manager-Job-Manhattan-Beach-CA-US-166375276.aspx,"


Manhattan Beach
        ,CA


 ","[1, 4, 5, 3]","[1, 8, 2, 0]","
                                Diane's Beachwear - Manhattan Beach

Who we are: Our company is the first in the beachwear industry to offer the ability to mix sizes in all swimwear tops and bottoms. We have maintained a leading position in the region by offering the largest selec......
                            ",Retail,"[12, 15, 3, 8]"
http://jobview.monster.com/Assistant-Store-Manager-Job-Arcadia-CA-US-165865996.aspx?mescoid=4100665001001&jobPosition=7,Los Angeles,"[3, 1, 0, 2]","[12, 6, 17, 4]","

Assistant Store Manager

","
Interesse International
 ","[2, 5, 7, 3]",http://jobview.monster.com/Assistant-Store-Manager-Job-Arcadia-CA-US-165865996.aspx,"


Arcadia
        ,CA


 ","[7, 4, 6, 5]","[3, 1, 6, 8]","
                                A stylish Eyewear company is looking to hire an Assistant Store Manager for their NEW STORE opening at Westfield Santa Ana Mall in Arcadia, CA. (with upward mobility)



Working Hours: 5 days/40 hrs/wk 

*Shift hours (early or late) to cover store h......
                            ",Retail,"[4, 10, 3, 8]"
http://jobview.monster.com/Assistant-Store-Manager-Needed-ASAP-in-Beverly-Hills!!!!!!!!!!-Job-Beverly-Hills-CA-US-166427293.aspx?mescoid=4100665001001&jobPosition=8,Los Angeles,"[2, 0, 3, 1]","[16, 7, 4, 1]","

Assistant Store Manager  - Needed ASAP in Beverly Hills!!!!!!!!!!

","
ACT-1
 ","[3, 2, 5, 6]",http://jobview.monster.com/Assistant-Store-Manager-Needed-ASAP-in-Beverly-Hills!!!!!!!!!!-Job-Beverly-Hills-CA-US-166427293.aspx,"


Beverly Hills
        ,CA


 ","[1, 7, 5, 8]","[0, 1, 2, 6]","
                                Job Description: High end Boutique in Beverly Hills is looking for a Assistant Manager to grow into a Manager!  Trains store staff by reviewing and revising orientation to products and sales training materials; delivering training sessions; reviewin......
                            ",Retail,"[0, 3, 5, 4]"
http://jobview.monster.com/Regional-Manager-Big-Box-Retail-See-Video-Job-Los-Angeles-CA-US-164741905.aspx?mescoid=1100003001001&jobPosition=9,Los Angeles,"[0, 1, 3, 2]","[6, 3, 10, 1]","

Regional Manager Big Box Retail - See Video

","
Management Recruiters of Indianapolis - North
 ","[0, 1, 6, 5]",http://jobview.monster.com/Regional-Manager-Big-Box-Retail-See-Video-Job-Los-Angeles-CA-US-164741905.aspx,"


Los Angeles
        ,CA

 ","[7, 0, 2, 5]","[2, 4, 3, 6]","
                                Untitled 1

3638GLM Regional Manager Big Box Retail Locations: California and NYC  Salary Range: 165K and up - plus bonus! Relocation available East Coast and West Coast Regional Manager positions have just become available  . The jobs are based in ......
                            ",Retail,"[17, 7, 5, 10]"
http://jobview.monster.com/Supervisor-Retail-Visual-Design-Seasonal-Job-Los-Angeles-CA-US-166476794.aspx?mescoid=4100665001001&jobPosition=10,Los Angeles,"[1, 2, 3, 0]","[2, 14, 3, 7]","

Supervisor, Retail Visual Design (Seasonal)

","
Forever21 Retail, Inc
 ","[0, 4, 3, 6]",http://jobview.monster.com/Supervisor-Retail-Visual-Design-Seasonal-Job-Los-Angeles-CA-US-166476794.aspx,"


Los Angeles
        ,CA

 ","[1, 3, 6, 7]","[4, 3, 0, 7]","
                                Job Description :
  Want more than just a job? Join Forever 21s Corporate team and showcase your skills while working with our exceptional employees! 

Position: Supervisor, Retail Visual Design (Seasonal)

Department: Visual Merchandise

Reports t......
                            ",Retail,"[0, 18, 4, 7]"
