original_link,city,colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,type,zipcodes
http://jobview.monster.com/Assistant-Store-Manager-Retail-Sales-Customer-Service-Hazlet-Job-Hazlet-NJ-US-166279442.aspx?mescoid=1101116002005&jobPosition=1,New York,"[2, 0, 1, 3]","[1, 15, 3, 14]","

Assistant Store Manager - Retail Sales / Customer Service - Hazlet

","
Extra Space Management, Inc.
 ","[0, 6, 1, 7]",http://jobview.monster.com/Assistant-Store-Manager-Retail-Sales-Customer-Service-Hazlet-Job-Hazlet-NJ-US-166279442.aspx,"


Hazlet
        ,NJ

 ","[1, 5, 8, 4]","[8, 4, 3, 2]","
                                Title        Assistant Store Manager - Retail Sales / Customer Service - Hazlet              Auto req ID        5865BR              City        Hazlet              State        New Jersey              Job Category        Sales              Employmen......
                            ",Retail,"[0, 4, 6, 5]"
http://jobview.monster.com/Retail-Customer-Service-Job-New-York-NY-US-166667843.aspx?mescoid=4300715001001&jobPosition=2,New York,"[2, 3, 0, 1]","[2, 9, 11, 16]","

Retail/Customer Service

","
Li-Lac Chocolates
 ","[1, 7, 5, 6]",http://jobview.monster.com/Retail-Customer-Service-Job-New-York-NY-US-166667843.aspx,"


New York
        ,NY

 ","[4, 1, 2, 8]","[0, 8, 1, 7]","
                                Position             Description  Retail/Customer Service Associate and Managers

The             Retail/Customer Service positions are responsible for ensuring every customer             has an outstanding shopping experience by providing exceptio......
                            ",Retail,"[0, 11, 9, 8]"
http://jobview.monster.com/Retail-Supervisor-Job-New-York-City-NY-US-165017585.aspx?mescoid=4100665001001&jobPosition=3,New York,"[2, 0, 1, 3]","[15, 8, 2, 3]","

Retail Supervisor

","
Charles Tyrwhitt
 ","[3, 4, 5, 6]",http://jobview.monster.com/Retail-Supervisor-Job-New-York-City-NY-US-165017585.aspx,"


New York City
        ,NY


 ","[3, 5, 8, 7]","[0, 8, 4, 3]","
                                Passionate people, outstanding products, world-class  service is our mission. The spirit is highly entrepreneurial and dynamic, aiming constantly to achieve the highest standards  in everything that we do.  As an employer  we strive to provide a res......
                            ",Retail,"[17, 16, 12, 4]"
http://jobview.local-jobs.monster.com/Retail-Overnight-Merchandise-Processing-Supervisor-Job-New-York-City-NY-US-166171336.aspx?ch=oakland&mescoid=1100022001001&jobPosition=4,New York,"[0, 2, 3, 1]","[9, 4, 11, 8]","

Retail Overnight Merchandise Processing Supervisor

","
The Container Store
 ","[6, 5, 0, 3]",http://jobview.local-jobs.monster.com/Retail-Overnight-Merchandise-Processing-Supervisor-Job-New-York-City-NY-US-166171336.aspx,"


New York City
        ,NY


 ","[7, 3, 0, 4]","[4, 6, 8, 5]","
                                What We Stand For 

What you do matters. Experience The Container Stores employee-first culture where you are appreciated, valued, and empowered to work together for a higher purpose. We create exceptional customer service experiences while fulfill......
                            ",Retail,"[8, 5, 10, 0]"
http://jobview.monster.com/Retail-Project-Merchandiser-Part-Time-Job-College-Point-NY-US-166133589.aspx?mescoid=2700412001001&jobPosition=5,New York,"[2, 0, 3, 1]","[3, 14, 16, 1]","

Retail Project Merchandiser Part Time

","
Advantage Solutions
 ","[5, 6, 4, 7]",http://jobview.monster.com/Retail-Project-Merchandiser-Part-Time-Job-College-Point-NY-US-166133589.aspx,"


College Point
        ,NY

 ","[6, 7, 4, 0]","[4, 1, 0, 6]","
                                Summary
  
    
      

                  Retail PROJECT Merchandiser PART Time                    

                     

        The best retail merchandising displays products in such a way that it stimulates interest and entices customers to ma......
                            ",Retail,"[8, 15, 18, 3]"
http://jobview.monster.com/RETAIL-SALES-ASSOCIATE-Job-Yonkers-NY-US-166166890.aspx?mescoid=4100671001001&jobPosition=6,New York,"[1, 3, 0, 2]","[4, 11, 15, 10]","

RETAIL SALES ASSOCIATE

","
Micro Center Computers & Electronics
 ","[5, 6, 7, 0]",http://jobview.monster.com/RETAIL-SALES-ASSOCIATE-Job-Yonkers-NY-US-166166890.aspx,"


Yonkers
        ,NY


 ","[3, 7, 2, 8]","[7, 5, 6, 4]","
                                WORK WITH US! MICRO CENTER is the nation?s leading computer and electronic device big box retailer! Our technology super store has an industry-leading 40,000+ selection of premier computer products and the most knowledgeable staff in the business. F......
                            ",Retail,"[3, 0, 10, 12]"
http://jobview.monster.com/Business-Systems-Analyst-Retail-Systems-Island-Pacific-a-must!-Job-Jersey-City-NJ-US-157664529.aspx?mescoid=1500123001001&jobPosition=7,New York,"[3, 2, 1, 0]","[15, 2, 14, 9]","

Business Systems Analyst - Retail Systems - Island Pacific a must!

","
Glenn Hill Search Group
 ","[0, 7, 5, 6]",http://jobview.monster.com/Business-Systems-Analyst-Retail-Systems-Island-Pacific-a-must!-Job-Jersey-City-NJ-US-157664529.aspx,"


Jersey City
        ,NJ


 ","[3, 4, 7, 2]","[6, 2, 5, 1]","
                                Are you ready for a high exposure position?  Do you love retail systems and are looking to take the next big step in your career?  If you are looking to play for a major player, this could be the spot for you! 
 
This firm has a EXCELLENT benefits a......
                            ",Retail,"[5, 2, 15, 10]"
http://jobview.monster.com/Retail-%E2%80%93-Sales-Management-Trainee-Job-Edison-NJ-US-162897399.aspx?mescoid=4100671001001&jobPosition=8,New York,"[2, 3, 0, 1]","[5, 9, 13, 11]","

Retail  Sales Management Trainee

","
Enterprise Rent-A-Car
 ","[7, 4, 0, 3]",http://jobview.monster.com/Retail-%E2%80%93-Sales-Management-Trainee-Job-Edison-NJ-US-162897399.aspx,"


Edison
        ,NJ


 ","[3, 5, 8, 7]","[4, 2, 0, 3]","
                                Sales Management TraineeLooking to use your skills with an industry leader? In the Enterprise Management Training Program, you can use those talents on a daily basis as you interact and do business with customers and business partners alike. Youll ......
                            ",Retail,"[9, 18, 15, 6]"
http://jobview.monster.com/Part-time-Retail-Associate-Job-Manhattan-NY-US-165813115.aspx?mescoid=4100671001001&jobPosition=9,New York,"[3, 1, 2, 0]","[10, 4, 12, 17]","

Part time Retail Associate

","
Miele
 ","[5, 6, 7, 3]",http://jobview.monster.com/Part-time-Retail-Associate-Job-Manhattan-NY-US-165813115.aspx,"


Manhattan
        ,NY

 ","[7, 8, 0, 6]","[4, 2, 3, 0]","
                                Summary                                

              Our 12 Experience Centers bring the Miele message and core value of Forever Better to life. As our chief brand ambassadors, Experience Center Sales Associates are essential to delivering custo......
                            ",Retail,"[1, 6, 3, 7]"
http://jobview.monster.com/Bilingual-Spanish-Required-Retail-Sales-Consultant-Brooklyn-East-NY-Job-Brooklyn-NY-US-166970887.aspx?mescoid=4100671001001&jobPosition=10,New York,"[1, 2, 0, 3]","[14, 10, 4, 5]","

Bilingual Spanish Required Retail Sales Consultant Brooklyn East NY

","
AT&T
  ","[5, 1, 4, 3]",http://jobview.monster.com/Bilingual-Spanish-Required-Retail-Sales-Consultant-Brooklyn-East-NY-Job-Brooklyn-NY-US-166970887.aspx,"


Brooklyn
        ,NY

 ","[7, 1, 0, 4]","[1, 3, 4, 6]","
                                There are retail jobs, and there are retail careers. If youre passionate about helping people get the most out of the technology they love, you could be a great fit for our retail team. Our motivated employees work directly with our cutting-edge li......
                            ",Retail,"[0, 16, 8, 14]"
http://jobview.monster.com/Retail-Sales-Representative-Job-Rockville-Centre-NY-US-166273575.aspx?mescoid=4100671001001&jobPosition=11,New York,"[3, 2, 1, 0]","[0, 3, 6, 4]","

Retail Sales Representative

","
Men's Wearhouse
 ","[2, 7, 5, 0]",http://jobview.monster.com/Retail-Sales-Representative-Job-Rockville-Centre-NY-US-166273575.aspx,"


Rockville Centre
        ,NY


 ","[3, 0, 4, 1]","[7, 1, 4, 6]","
                                Retail Sales Representative



Men's Wearhouse is looking for talented commissioned Sales Consultant candidates that have a passion for providing world class service to customers and employees.  As a Sales Representative you will provide world class......
                            ",Retail,"[7, 10, 6, 4]"
http://jobview.monster.com/Retail-Wireless-Sales-Associate-Pay-Bonus-Job-Edison-NJ-US-166938845.aspx?mescoid=4100671001001&jobPosition=12,New York,"[1, 0, 3, 2]","[15, 11, 1, 13]","

Retail Wireless Sales Associate - Pay + Bonus

","
AppleOne
 ","[0, 1, 2, 4]",http://jobview.monster.com/Retail-Wireless-Sales-Associate-Pay-Bonus-Job-Edison-NJ-US-166938845.aspx,"


Edison
        ,NJ


 ","[6, 5, 0, 1]","[7, 6, 8, 3]","
                                Job Description: This Retail Wireless Position Features: Easy Commute Pay + Bonus Hands On Training Provided Great Pay to $14.00 per hour  Immediate need for retail wireless seeking easy commute, pay + bonus and hands on training provided. Retail sa......
                            ",Retail,"[8, 6, 10, 12]"
http://jobview.monster.com/Yankee-Candle-FT-Asst-Store-Mgr-Wayne-NJ-Job-Wayne-NJ-US-166764670.aspx?mescoid=4100665001001&jobPosition=13,New York,"[1, 3, 2, 0]","[6, 11, 16, 12]","

Yankee Candle - FT Asst Store Mgr-  Wayne, NJ

","
Yankee Candle
 ","[3, 5, 4, 1]",http://jobview.monster.com/Yankee-Candle-FT-Asst-Store-Mgr-Wayne-NJ-Job-Wayne-NJ-US-166764670.aspx,"


Wayne
        ,NJ

 ","[3, 8, 4, 7]","[4, 3, 6, 7]","
                                the brands of everyday life\.TM    Retail Store Assistant Manager    Job Summary:    As a Retail Store Assistant Manager, you will be responsible for assisting in the management and leadership of a Yankee Candle Store; overseeing and driving daily s......
                            ",Retail,"[4, 6, 15, 13]"
http://jobview.monster.com/Store-Manager-Samsonite-World-Trade-Center-NYC-NY-Job-Manhattan-NY-US-166327641.aspx?mescoid=1101116002005&jobPosition=14,New York,"[0, 3, 1, 2]","[13, 14, 10, 3]","

Store Manager - Samsonite - World Trade Center NYC, NY

","
Samsonite
 ","[4, 7, 3, 1]",http://jobview.monster.com/Store-Manager-Samsonite-World-Trade-Center-NYC-NY-Job-Manhattan-NY-US-166327641.aspx,"


Manhattan
        ,NY


 ","[3, 1, 8, 0]","[5, 6, 1, 0]","
                                For over 100 years Samsonite has continued to leverage its craftsmanship and heritage as an innovator, to create unique solutions for the sophisticated traveler. By identifying trends and interpreting travelers needs, Samsonite continues to infuse ......
                            ",Retail,"[5, 3, 9, 10]"
http://jobview.monster.com/Retail-Salesperson-Job-New-York-City-NY-US-165547954.aspx?mescoid=4100671001001&jobPosition=15,New York,"[3, 1, 2, 0]","[3, 14, 9, 15]","

Retail Salesperson

","
Digiphoto Entertainment Imaging
 ","[1, 5, 7, 0]",http://jobview.monster.com/Retail-Salesperson-Job-New-York-City-NY-US-165547954.aspx,"


New York City
        ,NY


 ","[5, 7, 2, 3]","[1, 4, 3, 7]","
                                Immediate Openings 

Visit us at http://www.digiphotoglobal.com/careers.html
Photographer / Sales Associate Job DescriptionAs a global leader, Digiphoto Entertainment Imaging (DEI) is a premier souvenir imaging provider within the world of amusement......
                            ",Retail,"[12, 9, 14, 18]"
http://jobview.monster.com/Assistant-Store-Manager-Job-Short-Hills-NJ-US-166246288.aspx?mescoid=4100665001001&jobPosition=16,New York,"[3, 2, 1, 0]","[12, 1, 13, 9]","

Assistant Store Manager

","
Pet Supplies Plus
 ","[1, 6, 7, 5]",http://jobview.monster.com/Assistant-Store-Manager-Job-Short-Hills-NJ-US-166246288.aspx,"


Short Hills
        ,NJ


 ","[1, 5, 7, 0]","[7, 5, 6, 2]","
                                Is shopping with your 4-legged family member a tail waggin' good time? Do you believe carry out isn't just about pizza it's for bags of kibble to? If you're the leader of the pack and enjoy providing products and services that enrich pets' lives the......
                            ",Retail,"[15, 14, 3, 9]"
