original_link,city,colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,type,zipcodes
http://jobview.monster.com/Sales-Business-Development-Manager-Job-Edison-NJ-US-162023505.aspx?mescoid=4100666001001&jobPosition=1,New York,"[2, 3, 1, 0]","[11, 7, 2, 18]","

Sales/Business Development Manager

","
Netcom Systems, Inc.
 ","[6, 5, 2, 0]",http://jobview.monster.com/Sales-Business-Development-Manager-Job-Edison-NJ-US-162023505.aspx,"


Edison
        ,NJ


 ","[5, 1, 6, 2]","[0, 8, 5, 4]","
                                Designation: Sales/Business Development Manager




Role:

SecurView is looking to hire a candidate to work in the capacity of business development manager to manage our existing customers and partners in a specific territory.

Reporting:

The candi......
                            ",Sales,"[3, 4, 2, 14]"
http://jobview.monster.com/Storage-Sales-Executive-Storage-Sales-Computer-Sales-Outside-Job-New-York-City-NY-US-166350373.aspx?mescoid=4100666001001&jobPosition=2,New York,"[2, 1, 0, 3]","[15, 13, 10, 16]","

Storage Sales Executive - Storage Sales, Computer Sales, Outside

","
CyberCoders
 ","[0, 4, 7, 6]",http://jobview.monster.com/Storage-Sales-Executive-Storage-Sales-Computer-Sales-Outside-Job-New-York-City-NY-US-166350373.aspx,"


New York City
        ,NY


 ","[5, 3, 1, 6]","[8, 3, 7, 1]","
                                Storage Sales Executive - Storage Sales, Computer Sales, Outside jobs in New York City, NY                                                                    
         
             
                 
                                          
     ......
                            ",Sales,"[11, 7, 5, 2]"
http://jobview.monster.com/Field-Sales-Engineer-Job-New-York-City-NY-US-165764646.aspx?mescoid=4100688001001&jobPosition=3,New York,"[3, 1, 0, 2]","[14, 11, 13, 8]","

Field Sales Engineer

","
Curtis-Toledo, Inc.
 ","[7, 6, 4, 2]",http://jobview.monster.com/Field-Sales-Engineer-Job-New-York-City-NY-US-165764646.aspx,"


New York City
        ,NY


 ","[2, 7, 1, 6]","[2, 6, 8, 7]","
                                FS-Curtis is a leading distributor of air compressors.  With over a century of experience building quality air compressors, our products and reputation for excellence continue to fuel growth in the USA.  To support our growth, we have an excellent o......
                            ",Sales,"[5, 10, 4, 12]"
http://jobview.monster.com/Inside-Sales-Manager-Job-Whitestone-NY-US-166704196.aspx?mescoid=4100666001001&jobPosition=4,New York,"[3, 2, 1, 0]","[16, 15, 14, 3]","

Inside Sales Manager

","
Long Island Fireproof Door, Inc.
 ","[2, 3, 1, 6]",http://jobview.monster.com/Inside-Sales-Manager-Job-Whitestone-NY-US-166704196.aspx,"


Whitestone
        ,NY


 ","[1, 3, 2, 4]","[6, 0, 4, 2]","
                                Job Description:

LIF Industries is a leading Manufacturer of Hollow Metal Doors and Frames and Distributor of Architectural Wood Doors and Hardware. We supply the Global Construction Community in our area. We are currently seeking an Inside Sales M......
                            ",Sales,"[1, 11, 12, 18]"
http://jobview.monster.com/Director-of-Business-Development-Sales-Job-Brooklyn-NY-US-166039511.aspx?mescoid=1100008001001&jobPosition=5,New York,"[1, 0, 2, 3]","[13, 18, 15, 0]","

Director of Business Development and Sales

","
Breazy Inc.
 ","[1, 0, 6, 5]",http://jobview.monster.com/Director-of-Business-Development-Sales-Job-Brooklyn-NY-US-166039511.aspx,"


Brooklyn
        ,NY


 ","[8, 2, 0, 1]","[7, 1, 4, 5]","
                                Position: Business Development / Sales Leader

 

Compensation: Base + Commission

 

We are looking for high energy, self-motivated employee who has a desire to build a nationally focused sales organization within a rapidly expanding industry.

 

......
                            ",Sales,"[14, 15, 8, 18]"
http://jobview.monster.com/Regional-Sales-Manager-Medical-Equipment-Urology-a-Plus-Job-Brooklyn-NY-US-166760166.aspx?mescoid=4100666001001&jobPosition=6,New York,"[0, 3, 1, 2]","[16, 14, 17, 13]","

Regional Sales Manager / Medical Equipment / Urology a Plus

","
HireSource Solutions
 ","[6, 0, 3, 7]",http://jobview.monster.com/Regional-Sales-Manager-Medical-Equipment-Urology-a-Plus-Job-Brooklyn-NY-US-166760166.aspx,"


Brooklyn
        ,NY


 ","[7, 8, 0, 4]","[5, 1, 8, 7]","
                                Regional Sales Manager / Medical Equipment / Urology a Plus 

 

This is a direct-hire opportunity which offers full-benefits, growth potential, & a generous salary and commission package.

 

Were looking for individuals in the NJ/NY area who have......
                            ",Sales,"[18, 12, 17, 5]"
http://jobview.monster.com/Account-Executive-T-Mobile-At-Work-Direct-Sales-Hazlet-NJ-Job-Hazlet-NJ-US-166707852.aspx?mescoid=4100683001001&jobPosition=7,New York,"[0, 1, 3, 2]","[13, 17, 6, 11]","

*Account Executive, T-Mobile At Work (Direct Sales), Hazlet, NJ

","
T-Mobile
 ","[7, 1, 2, 4]",http://jobview.monster.com/Account-Executive-T-Mobile-At-Work-Direct-Sales-Hazlet-NJ-Job-Hazlet-NJ-US-166707852.aspx,"


Hazlet
        ,NJ


 ","[3, 5, 7, 6]","[3, 7, 0, 1]","
                                As America""s Un-carrier, T-Mobile US, Inc. (NYSE: TMUS) is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The company""s advanced nationwide 4G and 4G LTE network delivers outstanding......
                            ",Sales,"[9, 11, 1, 4]"
http://jobview.monster.com/Business-Development-Manager-FX-Operations-Sales-Platform-Job-New-York-NY-US-166552051.aspx?mescoid=4100666001001&jobPosition=8,New York,"[1, 2, 0, 3]","[3, 17, 2, 1]","

Business Development Manager- FX Operations and Sales Platform

","
Manpower
 ","[7, 6, 3, 4]",http://jobview.monster.com/Business-Development-Manager-FX-Operations-Sales-Platform-Job-New-York-NY-US-166552051.aspx,"


New York
        ,NY

 ","[3, 1, 6, 2]","[7, 4, 1, 0]","
                                Western Union Business Solutions ('WUBS') is the world's leading foreign exchange and international business payments company. Through its subsidiaries and branches, WUBS operates in the Americas, Asia, Europe, Australia, the Middle East and Africa ......
                            ",Sales,"[14, 16, 6, 13]"
http://jobview.monster.com/Sales-Consultant-Color-Creative-Imaging-745-Job-New-York-NY-US-167031964.aspx?mescoid=4100683001001&jobPosition=9,New York,"[3, 1, 0, 2]","[3, 12, 14, 15]","

Sales Consultant - Color/Creative Imaging (745)

","
ARC Document Solutions
 ","[7, 4, 6, 3]",http://jobview.monster.com/Sales-Consultant-Color-Creative-Imaging-745-Job-New-York-NY-US-167031964.aspx,"


New York
        ,NY

 ","[5, 4, 2, 1]","[8, 2, 6, 3]","
                                Cutting Edge: ""the latest or most advanced stage of development."" ARC Document Solutions is on the cutting edge of the technology, print service, and equipment supply industry. We are looking for an experienced Sales Consultant for our Creative Imag......
                            ",Sales,"[4, 9, 3, 16]"
http://jobview.monster.com/Senior-Sales-Account-Executive-Market-Data-Job-New-York-City-NY-US-164747722.aspx?mescoid=4100683001001&jobPosition=10,New York,"[1, 3, 0, 2]","[4, 15, 11, 3]","

Senior Sales/Account Executive - Market Data

","
OTC Markets
 ","[3, 1, 6, 7]",http://jobview.monster.com/Senior-Sales-Account-Executive-Market-Data-Job-New-York-City-NY-US-164747722.aspx,"


New York City
        ,NY


 ","[6, 4, 3, 2]","[0, 7, 2, 1]","
                                OTC Markets Group is seeking an experienced, energetic, results-oriented Market Data Senior Sales Executive. This position will work closely with the head of Market Data to develop and implement effective sales strategies and campaigns for all marke......
                            ",Sales,"[16, 18, 14, 13]"
